Time[s], Channel 0,,Call interval,In-code,,,Call Interval,,In-Code
0.166475083,0,,,0.350041,,,,,
0.167586583,1,,1.461541667,,,,,,
0.167937458,0,,,0.350875,,,,,
0.172026625,1,,4.440041667,,,,,,
0.17237725,0,,,0.350625,,,,,
0.175475292,1,,3.448666667,,,,,,
0.175825667,0,,,0.350375,,,,,
0.178922625,1,,3.447333333,,,,,,
0.179271458,0,,,0.348833,,,,,
0.182369375,1,,3.44675,,,,,,
0.182722333,0,,,0.352958,,,,,
0.186819875,1,,4.4505,,,,,,
0.187171125,0,,,0.35125,,,,,
0.18804525,1,,1.225375,,,,,,
0.188395875,0,,,0.350625,,,,,
0.19148225,1,,3.437,,,,,,
0.191832875,0,,,0.350625,,,,,
0.192707875,1,,1.225625,,,,,,
0.193058917,0,,,0.351042,,,,,
0.197142083,1,,4.434208333,,,,,,
0.197491667,0,,,0.349584,,,,,
0.198601833,1,,1.45975,,,,,,
0.198950792,0,,,0.348959,,,,,
0.203038958,1,,4.437125,,,,,,
0.203388083,0,,,0.349125,,,,,
0.206484417,1,,3.445458333,,,,,,
0.206834792,0,,,0.350375,,,,,
0.209933458,1,,3.449041667,,,,,,
0.210283458,0,,,0.35,,,,,
0.213381542,1,,3.448083333,,,,,,
0.213732667,0,,,0.351125,,,,,
0.216831542,1,,3.45,,,,,,
0.217181292,0,,,0.34975,,,,,
0.221274542,1,,4.443,,,,,,
0.2216255,0,,,0.350958,,,,,
0.222499708,1,,1.225166667,,,,,,
0.222848292,0,,,0.348584,,,,,
0.225920833,1,,3.421125,,,,,,
0.226271917,0,,,0.351084,,,,,
0.227147708,1,,1.226875,,,,,,
0.227496208,0,,,0.3485,,,,,
0.231583,1,,4.435291667,,,,,,
0.231932208,0,,,0.349208,,,,,
0.235032583,1,,3.449583333,,,,,,
0.235381375,0,,,0.348792,,,,,
0.238481042,1,,3.448458333,,,,,,
0.238831542,0,,,0.3505,,,,,
0.241929667,1,,3.448625,,,,,,
0.242279042,0,,,0.349375,,,,,
0.24538125,1,,3.451583333,,,,,,
0.245731042,0,,,0.349792,,,,,
0.249830833,1,,4.449583333,,,,,,
0.250181083,0,,,0.35025,,,,,
0.251058333,1,,1.2275,,,,,,
0.251409208,0,,,0.350875,,,,,
0.254494125,1,,3.435791667,,,,,,
0.254842833,0,,,0.348708,,,,,
0.255717375,1,,1.22325,,,,,,
0.256066208,0,,,0.348833,,,,,
0.260153417,1,,4.436041667,,,,,,
0.260504167,0,,,0.35075,,,,,
0.263600292,1,,3.446875,,,,,,
0.263950542,0,,,0.35025,,,,,
0.267048708,1,,3.448416667,,,,,,
0.267397458,0,,,0.34875,,,,,
0.270492875,1,,3.444166667,,,,,,
0.270842625,0,,,0.34975,,,,,
0.273938708,1,,3.445833333,,,,,,
0.274290708,0,,,0.352,,,,,
0.278391083,1,,4.452375,,,,,,
0.278742333,0,,,0.35125,,,,,
0.279616,1,,1.224916667,,,,,,
0.279965417,0,,,0.349417,,,,,
0.28305025,1,,3.43425,,,,,,
0.283400708,0,,,0.350458,,,,,
0.28427875,1,,1.2285,,,,,,
0.284629125,0,,,0.350375,,,,,
0.288713708,1,,4.434958333,,,,,,
0.289062875,0,,,0.349167,,,,,
0.290173042,1,,1.459333333,,,,,,
0.290524125,0,,,0.351083,,,,,
0.294611583,1,,4.438541667,,,,,,
0.294961375,0,,,0.349792,,,,,
0.298059667,1,,3.448083333,,,,,,
0.298409083,0,,,0.349416,,,,,
0.301503125,1,,3.443458333,,,,,,
0.30185325,0,,,0.350125,,,,,
0.304952417,1,,3.449291667,,,,,,
0.305301208,0,,,0.348791,,,,,
0.309401792,1,,4.449375,,,,,,
0.309751708,0,,,0.349916,,,,,
0.310629333,1,,1.227541667,,,,,,
0.310980375,0,,,0.351042,,,,,
0.31406625,1,,3.436916667,,,,,,
0.314415,0,,,0.34875,,,,,
0.315290458,1,,1.224208333,,,,,,
0.31563975,0,,,0.349292,,,,,
0.318728042,1,,3.437583333,,,,,,
0.319078208,0,,,0.350166,,,,,
0.319956042,1,,1.228,,,,,,
0.3203055,0,,,0.349458,,,,,
0.324388708,1,,4.432666667,,,,,,
0.324739083,0,,,0.350375,,,,,
0.327837083,1,,3.448375,,,,,,
0.328186333,0,,,0.34925,,,,,
0.331284167,1,,3.447083333,,,,,,
0.331633417,0,,,0.34925,,,,,
0.334726375,1,,3.442208333,,,,,,
0.3350765,0,,,0.350125,,,,,
0.338167833,1,,3.441458333,,,,,,
0.338517625,0,,,0.349792,,,,,
0.342617125,1,,4.449291667,,,,,,
0.342966875,0,,,0.34975,,,,,
0.343843208,1,,1.226083333,,,,,,
0.344193292,0,,,0.350084,,,,,
0.347280667,1,,3.437458333,,,,,,
0.347629792,0,,,0.349125,,,,,
0.348505125,1,,1.224458333,,,,,,
0.348855083,0,,,0.349958,,,,,
0.352940458,1,,4.435333333,,,,,,
0.353289167,0,,,0.348709,,,,,
0.356387583,1,,3.447125,,,,,,
0.356739292,0,,,0.351709,,,,,
0.359837917,1,,3.450333333,,,,,,
0.360186583,0,,,0.348666,,,,,
0.36328075,1,,3.442833333,,,,,,
0.363630917,0,,,0.350167,,,,,
0.366730542,1,,3.449791667,,,,,,
0.367080792,0,,,0.35025,,,,,
0.3711775,1,,4.446958333,,,,,,
0.371526708,0,,,0.349208,,,,,
0.372404083,1,,1.226583333,,,,,,
0.372753792,0,,,0.349709,,,,,
0.375840208,1,,3.436125,,,,,,
0.376190792,0,,,0.350584,,,,,
0.377067583,1,,1.227375,,,,,,
0.3774185,0,,,0.350917,,,,,
0.381505417,1,,4.437833333,,,,,,
0.381856542,0,,,0.351125,,,,,
0.382968708,1,,1.463291667,,,,,,
0.383317708,0,,,0.349,,,,,
0.387401958,1,,4.43325,,,,,,
0.387752292,0,,,0.350334,,,,,
0.39085125,1,,3.449291667,,,,,,
0.391200667,0,,,0.349417,,,,,
0.394297417,1,,3.446166667,,,,,,
0.394647208,0,,,0.349791,,,,,
0.397746542,1,,3.449125,,,,,,
0.398095958,0,,,0.349416,,,,,
0.402193125,1,,4.446583333,,,,,,
0.402542792,0,,,0.349667,,,,,
0.4034205,1,,1.227375,,,,,,
0.403769417,0,,,0.348917,,,,,
0.406855292,1,,3.434791667,,,,,,
0.407205833,0,,,0.350541,,,,,
0.408082333,1,,1.227041667,,,,,,
0.408431667,0,,,0.349334,,,,,
0.412515458,1,,4.433125,,,,,,
0.412865958,0,,,0.3505,,,,,
0.413744167,1,,1.228708333,,,,,,
0.414092875,0,,,0.348708,,,,,
0.418179708,1,,4.435541667,,,,,,
0.418530833,0,,,0.351125,,,,,
0.421631917,1,,3.452208333,,,,,,
0.421981625,0,,,0.349708,,,,,
0.425080083,1,,3.448166667,,,,,,
0.425429875,0,,,0.349792,,,,,
0.428528083,1,,3.448,,,,,,
0.428877042,0,,,0.348959,,,,,
0.431972958,1,,3.444875,,,,,,
0.432322708,0,,,0.34975,,,,,
0.436421792,1,,4.448833333,,,,,,
0.436772083,0,,,0.350291,,,,,
0.43764625,1,,1.224458333,,,,,,
0.4379955,0,,,0.34925,,,,,
0.441082917,1,,3.436666667,,,,,,
0.44143425,0,,,0.351333,,,,,
0.4423085,1,,1.225583333,,,,,,
0.442659167,0,,,0.350667,,,,,
0.446746833,1,,4.438333333,,,,,,
0.447095792,0,,,0.348959,,,,,
0.450190542,1,,3.443708333,,,,,,
0.450540167,0,,,0.349625,,,,,
0.453630125,1,,3.439583333,,,,,,
0.453980917,0,,,0.350792,,,,,
0.457072667,1,,3.442541667,,,,,,
0.457422542,0,,,0.349875,,,,,
0.460520167,1,,3.4475,,,,,,
0.460870042,0,,,0.349875,,,,,
0.464967042,1,,4.446875,,,,,,
0.465316625,0,,,0.349583,,,,,
0.466195375,1,,1.228333333,,,,,,
0.466545458,0,,,0.350083,,,,,
0.469629375,1,,3.434,,,,,,
0.469979333,0,,,0.349958,,,,,
0.470854125,1,,1.22475,,,,,,
0.47120475,0,,,0.350625,,,,,
0.475290083,1,,4.435958333,,,,,,
0.475640917,0,,,0.350834,,,,,
0.476753875,1,,1.463791667,,,,,,
0.477104708,0,,,0.350833,,,,,
0.481191292,1,,4.437416667,,,,,,
0.481541458,0,,,0.350166,,,,,
0.484639042,1,,3.44775,,,,,,
0.484989083,0,,,0.350041,,,,,
0.48808375,1,,3.444708333,,,,,,
0.488434875,0,,,0.351125,,,,,
0.491534708,1,,3.450958333,,,,,,
0.49188375,0,,,0.349042,,,,,
0.495981125,1,,4.446416667,,,,,,
0.496332458,0,,,0.351333,,,,,
0.497207833,1,,1.226708333,,,,,,
0.497557083,0,,,0.34925,,,,,
0.500641625,1,,3.433791667,,,,,,
0.500991542,0,,,0.349917,,,,,
0.501868542,1,,1.226916667,,,,,,
0.502219167,0,,,0.350625,,,,,
0.506303625,1,,4.435083333,,,,,,
0.506654708,0,,,0.351083,,,,,
0.507766708,1,,1.463083333,,,,,,
0.508116625,0,,,0.349917,,,,,
0.512200875,1,,4.434166667,,,,,,
0.512549833,0,,,0.348958,,,,,
0.515647917,1,,3.447041667,,,,,,
0.515997083,0,,,0.349166,,,,,
0.519092667,1,,3.44475,,,,,,
0.519444208,0,,,0.351541,,,,,
0.522543417,1,,3.45075,,,,,,
0.522894083,0,,,0.350666,,,,,
0.526993208,1,,4.449791667,,,,,,
0.527343375,0,,,0.350167,,,,,
0.528218542,1,,1.225333333,,,,,,
0.52857,0,,,0.351458,,,,,
0.531655833,1,,3.437291667,,,,,,
0.532006292,0,,,0.350459,,,,,
0.532883417,1,,1.227583333,,,,,,
0.533232708,0,,,0.349291,,,,,
0.536318417,1,,3.435,,,,,,
0.536668083,0,,,0.349666,,,,,
0.537543542,1,,1.225125,,,,,,
0.53789375,0,,,0.350208,,,,,
0.54197925,1,,4.435708333,,,,,,
0.542328083,0,,,0.348833,,,,,
0.545427083,1,,3.447833333,,,,,,
0.545776292,0,,,0.349209,,,,,
0.548873667,1,,3.446583333,,,,,,
0.54922275,0,,,0.349083,,,,,
0.552319708,1,,3.446041667,,,,,,
0.552668917,0,,,0.349209,,,,,
0.555770167,1,,3.450458333,,,,,,
0.556120958,0,,,0.350791,,,,,
0.560218958,1,,4.448791667,,,,,,
0.560570292,0,,,0.351334,,,,,
0.5614455,1,,1.226541667,,,,,,
0.561795,0,,,0.3495,,,,,
0.564878583,1,,3.433083333,,,,,,
0.565227708,0,,,0.349125,,,,,
0.566099,1,,1.220416667,,,,,,
0.566448625,0,,,0.349625,,,,,
0.570528083,1,,4.429083333,,,,,,
0.570877292,0,,,0.349209,,,,,
0.57397675,1,,3.448666667,,,,,,
0.574326417,0,,,0.349667,,,,,
0.5774275,1,,3.45075,,,,,,
0.577777,0,,,0.3495,,,,,
0.580877458,1,,3.449958333,,,,,,
0.581227583,0,,,0.350125,,,,,
0.58432675,1,,3.449291667,,,,,,
0.584675875,0,,,0.349125,,,,,
0.588772958,1,,4.446208333,,,,,,
0.589122125,0,,,0.349167,,,,,
0.589998542,1,,1.225583333,,,,,,
0.590347958,0,,,0.349416,,,,,
0.593435375,1,,3.436833333,,,,,,
0.593787083,0,,,0.351708,,,,,
0.594665792,1,,1.230416667,,,,,,
0.595015417,0,,,0.349625,,,,,
0.599101208,1,,4.435416667,,,,,,
0.599450833,0,,,0.349625,,,,,
0.60056225,1,,1.461041667,,,,,,
0.600911792,0,,,0.349542,,,,,
0.604998542,1,,4.436291667,,,,,,
0.605348625,0,,,0.350083,,,,,
0.6084475,1,,3.448958333,,,,,,
0.60879875,0,,,0.35125,,,,,
0.611896167,1,,3.448666667,,,,,,
0.612246708,0,,,0.350541,,,,,
0.615345542,1,,3.449375,,,,,,
0.615694417,0,,,0.348875,,,,,
0.619794417,1,,4.448875,,,,,,
0.620144625,0,,,0.350208,,,,,
0.621019708,1,,1.225291667,,,,,,
0.621371167,0,,,0.351459,,,,,
0.624459042,1,,3.439333333,,,,,,
0.624809958,0,,,0.350916,,,,,
0.625688667,1,,1.229625,,,,,,
0.626038875,0,,,0.350208,,,,,
0.629124875,1,,3.436208333,,,,,,
0.629474,0,,,0.349125,,,,,
0.630349083,1,,1.224208333,,,,,,
0.630698917,0,,,0.349834,,,,,
0.634787833,1,,4.43875,,,,,,
0.635136833,0,,,0.349,,,,,
0.638236792,1,,3.448958333,,,,,,
0.638585875,0,,,0.349083,,,,,
0.641685042,1,,3.44825,,,,,,
0.64203575,0,,,0.350708,,,,,
0.645129458,1,,3.444416667,,,,,,
0.645479042,0,,,0.349584,,,,,
0.6485745,1,,3.445041667,,,,,,
0.648924958,0,,,0.350458,,,,,
0.653021375,1,,4.446875,,,,,,
0.653370167,0,,,0.348792,,,,,
0.654244958,1,,1.223583333,,,,,,
0.65459475,0,,,0.349792,,,,,
0.657680667,1,,3.435708333,,,,,,
0.658031542,0,,,0.350875,,,,,
0.658906375,1,,1.225708333,,,,,,
0.659256542,0,,,0.350167,,,,,
0.6633445,1,,4.438125,,,,,,
0.66369475,0,,,0.35025,,,,,
0.666792125,1,,3.447625,,,,,,
0.667141292,0,,,0.349167,,,,,
0.670239167,1,,3.447041667,,,,,,
0.670588333,0,,,0.349166,,,,,
0.673687792,1,,3.448625,,,,,,
0.674037667,0,,,0.349875,,,,,
0.677125167,1,,3.437375,,,,,,
0.677475833,0,,,0.350666,,,,,
0.681563917,1,,4.43875,,,,,,
0.681914167,0,,,0.35025,,,,,
0.682789958,1,,1.226041667,,,,,,
0.683140625,0,,,0.350667,,,,,
0.686226792,1,,3.436833333,,,,,,
0.686577042,0,,,0.35025,,,,,
0.687451333,1,,1.224541667,,,,,,
0.687800583,0,,,0.34925,,,,,
0.691884542,1,,4.433208333,,,,,,
0.692234375,0,,,0.349833,,,,,
0.693347208,1,,1.462666667,,,,,,
0.693696667,0,,,0.349459,,,,,
0.69778025,1,,4.433041667,,,,,,
0.6981315,0,,,0.35125,,,,,
0.70123075,1,,3.4505,,,,,,
0.701581667,0,,,0.350917,,,,,
0.704677625,1,,3.446875,,,,,,
0.705028667,0,,,0.351042,,,,,
0.708122333,1,,3.444708333,,,,,,
0.70847125,0,,,0.348917,,,,,
0.712570917,1,,4.448583333,,,,,,
0.712920417,0,,,0.3495,,,,,
0.713798083,1,,1.227166667,,,,,,
0.714146625,0,,,0.348542,,,,,
0.717233917,1,,3.435833333,,,,,,
0.717584042,0,,,0.350125,,,,,
0.718459917,1,,1.226,,,,,,
0.7188105,0,,,0.350583,,,,,
0.722897208,1,,4.437291667,,,,,,
0.723247542,0,,,0.350334,,,,,
0.724359125,1,,1.461916667,,,,,,
0.724707333,0,,,0.348208,,,,,
0.728794667,1,,4.435541667,,,,,,
0.7291435,0,,,0.348833,,,,,
0.7322435,1,,3.448833333,,,,,,
0.732593,0,,,0.3495,,,,,
0.735690833,1,,3.447333333,,,,,,
0.736042625,0,,,0.351792,,,,,
0.739140958,1,,3.450125,,,,,,
0.739492417,0,,,0.351459,,,,,
0.74359375,1,,4.452791667,,,,,,
0.743944125,0,,,0.350375,,,,,
0.744822167,1,,1.228416667,,,,,,
0.74517125,0,,,0.349083,,,,,
0.748255458,1,,3.433291667,,,,,,
0.748605208,0,,,0.34975,,,,,
0.749482542,1,,1.227083333,,,,,,
0.74983125,0,,,0.348708,,,,,
0.752916208,1,,3.433666667,,,,,,
0.753266292,0,,,0.350084,,,,,
0.754141125,1,,1.224916667,,,,,,
0.754491208,0,,,0.350083,,,,,
0.758576875,1,,4.43575,,,,,,
0.758927792,0,,,0.350917,,,,,
0.762028625,1,,3.45175,,,,,,
0.762378458,0,,,0.349833,,,,,
0.765473792,1,,3.445166667,,,,,,
0.765822917,0,,,0.349125,,,,,
0.768919667,1,,3.445875,,,,,,
0.769269375,0,,,0.349708,,,,,
0.772367458,1,,3.447791667,,,,,,
0.772717542,0,,,0.350084,,,,,
0.776817125,1,,4.449666667,,,,,,
0.777166583,0,,,0.349458,,,,,
0.778041167,1,,1.224041667,,,,,,
0.778392667,0,,,0.3515,,,,,
0.781478833,1,,3.437666667,,,,,,
0.781826958,0,,,0.348125,,,,,
0.782702917,1,,1.224083333,,,,,,
0.783052958,0,,,0.350041,,,,,
0.787140417,1,,4.4375,,,,,,
0.787489667,0,,,0.34925,,,,,
0.790586042,1,,3.445625,,,,,,
0.790936,0,,,0.349958,,,,,
0.794029458,1,,3.443416667,,,,,,
0.794378208,0,,,0.34875,,,,,
0.797466042,1,,3.436583333,,,,,,
0.797817,0,,,0.350958,,,,,
0.800908125,1,,3.442083333,,,,,,
0.801258,0,,,0.349875,,,,,
0.805356167,1,,4.448041667,,,,,,
0.80570625,0,,,0.350083,,,,,
0.806581417,1,,1.22525,,,,,,
0.806932708,0,,,0.351291,,,,,
0.810019417,1,,3.438,,,,,,
0.810370417,0,,,0.351,,,,,
0.811245917,1,,1.2265,,,,,,
0.811595583,0,,,0.349666,,,,,
0.815682792,1,,4.436875,,,,,,
0.816032333,0,,,0.349541,,,,,
0.817142417,1,,1.459625,,,,,,
0.817492292,0,,,0.349875,,,,,
0.821577958,1,,4.435541667,,,,,,
0.821928125,0,,,0.350167,,,,,
0.825026833,1,,3.448875,,,,,,
0.825375625,0,,,0.348792,,,,,
0.828472708,1,,3.445875,,,,,,
0.828822667,0,,,0.349959,,,,,
0.831920833,1,,3.448125,,,,,,
0.832270708,0,,,0.349875,,,,,
0.836370958,1,,4.450125,,,,,,
0.836720542,0,,,0.349584,,,,,
0.837596375,1,,1.225416667,,,,,,
0.837947292,0,,,0.350917,,,,,
0.841029667,1,,3.433291667,,,,,,
0.841380667,0,,,0.351,,,,,
0.842257458,1,,1.227791667,,,,,,
0.842608083,0,,,0.350625,,,,,
0.845695625,1,,3.438166667,,,,,,
0.8460455,0,,,0.349875,,,,,
0.846924,1,,1.228375,,,,,,
0.847272375,0,,,0.348375,,,,,
0.851357583,1,,4.433583333,,,,,,
0.851706625,0,,,0.349042,,,,,
0.85480575,1,,3.448166667,,,,,,
0.855155625,0,,,0.349875,,,,,
0.858254083,1,,3.448333333,,,,,,
0.858605,0,,,0.350917,,,,,
0.861703667,1,,3.449583333,,,,,,
0.86205275,0,,,0.349083,,,,,
0.865148417,1,,3.44475,,,,,,
0.8654995,0,,,0.351083,,,,,
0.869599,1,,4.450583333,,,,,,
0.869949042,0,,,0.350042,,,,,
0.870823667,1,,1.224666667,,,,,,
0.871173083,0,,,0.349416,,,,,
0.8742585,1,,3.434833333,,,,,,
0.874608708,0,,,0.350208,,,,,
0.8754835,1,,1.225,,,,,,
0.8758325,0,,,0.349,,,,,
0.879918458,1,,4.434958333,,,,,,
0.880267917,0,,,0.349459,,,,,
0.883367333,1,,3.448875,,,,,,
0.883717083,0,,,0.34975,,,,,
0.886818208,1,,3.450875,,,,,,
0.887166917,0,,,0.348709,,,,,
0.890265625,1,,3.447416667,,,,,,
0.890615583,0,,,0.349958,,,,,
0.893714458,1,,3.448833333,,,,,,
0.894063833,0,,,0.349375,,,,,
0.898162417,1,,4.447958333,,,,,,
0.898512458,0,,,0.350041,,,,,
0.899387,1,,1.224583333,,,,,,
0.899738333,0,,,0.351333,,,,,
0.902825542,1,,3.438541667,,,,,,
0.903176958,0,,,0.351416,,,,,
0.904052917,1,,1.227375,,,,,,
0.904402333,0,,,0.349416,,,,,
0.908482792,1,,4.429875,,,,,,
0.908833,0,,,0.350208,,,,,
0.909934708,1,,1.451916667,,,,,,
0.910284542,0,,,0.349834,,,,,
0.914361167,1,,4.426458333,,,,,,
0.914711583,0,,,0.350416,,,,,
0.917810542,1,,3.449375,,,,,,
0.918161542,0,,,0.351,,,,,
0.9212575,1,,3.446958333,,,,,,
0.921607375,0,,,0.349875,,,,,
0.924709208,1,,3.451708333,,,,,,
0.92505975,0,,,0.350542,,,,,
0.929156042,1,,4.446833333,,,,,,
0.929506625,0,,,0.350583,,,,,
0.930382875,1,,1.226833333,,,,,,
0.930732042,0,,,0.349167,,,,,
0.933816875,1,,3.434,,,,,,
0.934167667,0,,,0.350792,,,,,
0.935045375,1,,1.2285,,,,,,
0.93539425,0,,,0.348875,,,,,
0.939481125,1,,4.43575,,,,,,
0.939830958,0,,,0.349833,,,,,
0.940942208,1,,1.461083333,,,,,,
0.941292042,0,,,0.349834,,,,,
0.945378958,1,,4.43675,,,,,,
0.945729417,0,,,0.350459,,,,,
0.948828,1,,3.449041667,,,,,,
0.949176958,0,,,0.348958,,,,,
0.952273167,1,,3.445166667,,,,,,
0.952623,0,,,0.349833,,,,,
0.955722875,1,,3.449708333,,,,,,
0.956073625,0,,,0.35075,,,,,
0.960170583,1,,4.447708333,,,,,,
0.960520875,0,,,0.350292,,,,,
0.961396833,1,,1.22625,,,,,,
0.961747,0,,,0.350167,,,,,
0.964830833,1,,3.434,,,,,,
0.965180458,0,,,0.349625,,,,,
0.966057708,1,,1.226875,,,,,,
0.966408458,0,,,0.35075,,,,,
0.969496333,1,,3.438625,,,,,,
0.969846667,0,,,0.350334,,,,,
0.970724542,1,,1.228208333,,,,,,
0.971073667,0,,,0.349125,,,,,
0.975158958,1,,4.434416667,,,,,,
0.975507833,0,,,0.348875,,,,,
0.978607917,1,,3.448958333,,,,,,
0.978958625,0,,,0.350708,,,,,
0.982057583,1,,3.449666667,,,,,,
0.982406958,0,,,0.349375,,,,,
0.985504375,1,,3.446791667,,,,,,
0.98585375,0,,,0.349375,,,,,
0.988951667,1,,3.447291667,,,,,,
0.989302,0,,,0.350333,,,,,
0.993401333,1,,4.449666667,,,,,,
0.993750708,0,,,0.349375,,,,,
0.99462625,1,,1.224916667,,,,,,
0.99497675,0,,,0.3505,,,,,
0.998063708,1,,3.437458333,,,,,,
0.998412292,0,,,0.348584,,,,,
0.999287958,1,,1.22425,,,,,,
0.999638167,0,,,0.350209,,,,,
1.003725042,1,,4.437083333,,,,,,
1.004076375,0,,,0.351333,,,,,
1.007170583,1,,3.445541667,,,,,,
1.007520375,0,,,0.349792,,,,,
1.01062025,1,,3.449666667,,,,,,
1.010969833,0,,,0.349583,,,,,
1.014069167,1,,3.448916667,,,,,,
1.014418125,0,,,0.348958,,,,,
1.017516125,1,,3.446958333,,,,,,
1.017866375,0,,,0.35025,,,,,
1.021960583,1,,4.444458333,,,,,,
1.022309792,0,,,0.349209,,,,,
1.0231825,1,,1.221916667,,,,,,
1.023533958,0,,,0.351458,,,,,
1.02661175,1,,3.42925,,,,,,
1.026961042,0,,,0.349292,,,,,
1.027839875,1,,1.228125,,,,,,
1.028190375,0,,,0.3505,,,,,
1.032279542,1,,4.439666667,,,,,,
1.032629458,0,,,0.349916,,,,,
1.033742167,1,,1.462625,,,,,,
1.034091875,0,,,0.349708,,,,,
1.038178125,1,,4.435958333,,,,,,
1.038527917,0,,,0.349792,,,,,
1.041627042,1,,3.448916667,,,,,,
1.041976333,0,,,0.349291,,,,,
1.045075583,1,,3.448541667,,,,,,
1.045424125,0,,,0.348542,,,,,
1.048521167,1,,3.445583333,,,,,,
1.048869833,0,,,0.348666,,,,,
1.05296825,1,,4.447083333,,,,,,
1.053318083,0,,,0.349833,,,,,
1.054196083,1,,1.227833333,,,,,,
1.054544792,0,,,0.348709,,,,,
1.057630625,1,,3.434541667,,,,,,
1.057980833,0,,,0.350208,,,,,
1.05885675,1,,1.226125,,,,,,
